Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.3.309.1,,,,,,,,,,,,,,,
Date,9/1/23,9:42 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX19057723,,,,,,,,,,,,,,,
Batch,20230901_training_P2,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,
ComputerName,DESKTOP-LJ3IQ3H,,,,,,,,,,,,,,,
Country Code,7F,,,,,,,,,,,,,,,
ProtocolName,DRC Sample Plate,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,Sample plate with Control IDs mapped,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,On,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,9/1/23 9:42,,,,,,,,,,,,,,,
BatchStopTime,9/1/23 10:51,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,7,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 09/01/2023 09:04:21,,,,,,,,,,,,,,,
Last VER Verification,Passed 09/01/2023 09:05:23,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 09/01/2023 09:06:43,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B98915,12/18/24,9/1/23 9:04,25.4,25.4,25.4,25.4,232,249,306,306,0.00706,0.00695,0.00392,0.1178,Pass,MAGPX18958823
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,95,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,SNAP,WNV,YF,JE3,ZIKA,DENV,CHIKV,GLURPR2,CSP,PfAMA1,PfMSP119,WRUV,WMEV,Total Events,
"1(1,A1)",Unknown1,320,491,5125,5235,5775,2031,404,554,63,27,42,6928,1186,1129,
"2(1,B1)",Unknown2,258,3085,315,3865,3155,610,438,6653,164,7112,33456,9805,3370,1040,
"3(1,C1)",Unknown3,253,260,288,3525,3485,1275,289,11505,2762,10510,44113,431,11148,1061,
"4(1,D1)",Unknown4,116,1535,139,162,119,508,425,18,47,813,32867,6786,12462,937,
"5(1,E1)",Unknown5,7285,1055,1007,11295,1229,1815,238,73,17,30,14,5902,4374,966,
"6(1,F1)",Unknown6,245,233,253,317,4455,5332,73,39,1104,47793,352,11,9,1062,
"7(1,G1)",Unknown7,177,2335,211,253,172,274,348,10969,111,586,5541,20,17,1029,
"8(1,H1)",Unknown8,9115,416,442,395,386,318,288,79,17,31809,394,1078,61,1017,
"9(1,A2)",Unknown9,208,207,205,229,2115,516,276,5,10,11,12,5255,5353,1068,
"10(1,B2)",Unknown10,2155,276,228,268,276,151,177,12042,394,45855,196,115,39172,1116,
"11(1,C2)",Unknown11,2015,1695,1845,201,151,147,332,4,1,7,158,592,433,1047,
"12(1,D2)",Unknown12,283,301,323,385,3025,251,611,554,63,27,42,6928,1186,1123,
"13(1,E2)",Unknown13,238,2595,274,355,358,657,279,5,10,11,12,5255,5353,1150,
"14(1,F2)",Unknown14,294,347,334,399,303,3069,348,554,63,27,42,6928,1186,1206,
"15(1,G2)",Unknown15,1215,1635,128,159,161,631,321,6464,4658,51998,157,7359,293,1131,
"16(1,H2)",Unknown16,8,12,13,15,11,987,584,24,20,23,7928,18,3,1115,
"17(1,A3)",Unknown17,289,313,3205,374,336,266,290,39,1104,47793,352,11,9,1100,
"18(1,B3)",Unknown18,616,838,7815,8205,938,239,134,46,140,255,221,18,43448,1117,
"19(1,C3)",Unknown19,215,238,225,268,212,167,198,46660,750,22988,287,1617,67,1247,
"20(1,D3)",Unknown20,221,246,273,294,2565,518,165,19,13,17,16,3843,1629,1200,
"21(1,E3)",Unknown21,301,423,3385,430,669,15017,302,75,15,32,34,7719,1962,1096,
"22(1,F3)",Unknown22,131,1365,145,170,145,2150,254,5,8,58,306,13933,13342,1125,
"23(1,G3)",Unknown23,218,2405,221,247,445,305,305,19,13,17,16,3843,1629,1184,
"24(1,H3)",Unknown24,116,120,1205,144,1295,274,217,10969,111,586,5541,20,17,1178,
"25(1,A4)",Unknown25,159,150,1165,133,108,314,155,11,35,5666,14,963,197,1146,
"26(1,B4)",Unknown26,118,139,470,155,120,217,136,28,68,559,1003,5411,1149,1113,
"27(1,C4)",Unknown27,170,203,213,259,218,2609,403,14,179,45891,396,2454,439,1190,
"28(1,D4)",Unknown28,131,147,1315,166,1605,406,268,10866,11424,30866,18831,2406,378,1204,
"29(1,E4)",Unknown29,76,78,81,92,88,494,280,43,4,8894,25877,6362,125,1197,
"30(1,F4)",Unknown30,207,2285,196,206,177,185,197,4,9,19,109,7,5,1215,
"31(1,G4)",Unknown31,7095,1386,9705,11935,1328,321,249,4,4,4,8,12,6,1188,
"32(1,H4)",Unknown32,620,1088,831,1124,6765,569,173,34821,113,55115,9178,16,22,1288,
"33(1,A5)",Unknown33,403,480,457,488,485,364,159,12,7,23,521,2776,823,1236,
"34(1,B5)",Unknown34,13,7,9,8,8,118,157,7,7,15,17,5664,1958,1092,
"35(1,C5)",Unknown35,1885,2365,265,265,252,316,224,51,1088,52595,406,48,13,1192,
"36(1,D5)",Unknown36,198,2215,202,224,229,6178,334,24,22668,43641,50,19,122,1074,
"37(1,E5)",Unknown37,4455,5210,658,8633,670,1350,258,4,5,4,37,6775,771,1117,
